latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
18.93,-70.354,306.2,1.7,1.3,2018-09-07,0235,T,67,6.0NRT,290.9,14.2,N
17.914,-93.516,304.1,1.4,1.2,2018-09-07,0415,T,58,6.0NRT,288.7,8.7,N
17.912,-93.53,303.9,1.4,1.2,2018-09-07,0415,T,57,6.0NRT,289.5,8.2,N
17.909,-93.521,310.9,1.4,1.2,2018-09-07,0415,T,81,6.0NRT,289.4,15.4,N
18.205,-94.001,305.8,1.5,1.2,2018-09-07,0415,T,63,6.0NRT,293.9,9,N
18.202,-94.015,307.8,1.5,1.2,2018-09-07,0415,T,72,6.0NRT,294.3,11.1,N
18.207,-94.007,308.7,1.5,1.2,2018-09-07,0415,T,75,6.0NRT,294.2,13.1,N
18.866,-92.627,324.4,1.2,1.1,2018-09-07,0415,T,100,6.0NRT,293.3,25.8,N
19.244,-92.252,347.1,1.2,1.1,2018-09-07,0415,T,100,6.0NRT,292.7,65.5,N
19.243,-92.263,324.9,1.2,1.1,2018-09-07,0415,T,100,6.0NRT,292.5,24.2,N
19.398,-92.045,305,1.1,1.1,2018-09-07,0415,T,12,6.0NRT,290.9,4.1,N
19.562,-92.239,326.7,1.1,1.1,2018-09-07,0415,T,100,6.0NRT,293.6,25.9,N
47.491,-113.225,322.7,4.2,1.9,2018-09-07,0425,T,100,6.0NRT,280.8,190.6,N
47.513,-113.169,302.1,4.2,1.9,2018-09-07,0425,T,46,6.0NRT,281.7,60.4,N
47.494,-113.232,321.6,4.2,1.9,2018-09-07,0425,T,100,6.0NRT,279.7,182.9,N
49.518,-114.831,302.1,4.3,1.9,2018-09-07,0425,T,46,6.0NRT,283.8,54.9,N
30.324,-91.227,311.6,1,1,2018-09-07,0420,T,39,6.0NRT,292.1,8.3,N
30.323,-91.238,360.9,1,1,2018-09-07,0420,T,100,6.0NRT,293.2,91.2,N
30.321,-91.249,303.1,1,1,2018-09-07,0420,T,21,6.0NRT,291.6,3.3,N
30.332,-91.24,307.2,1,1,2018-09-07,0420,T,71,6.0NRT,291.6,6.1,N
31.668,-95.32,308.5,1.1,1.1,2018-09-07,0420,T,75,6.0NRT,292.5,8.2,N
31.674,-95.316,313.5,1.1,1.1,2018-09-07,0420,T,87,6.0NRT,292.9,12.8,N
31.672,-95.327,303.9,1.1,1.1,2018-09-07,0420,T,57,6.0NRT,292.3,5,N
33.664,-96.024,314.7,1.1,1.1,2018-09-07,0420,T,90,6.0NRT,280.5,16.8,N
33.673,-96.026,316.5,1.1,1.1,2018-09-07,0420,T,93,6.0NRT,280.5,18.8,N
33.671,-96.038,303.2,1.1,1.1,2018-09-07,0420,T,53,6.0NRT,281.9,6.5,N
48.264,-116.112,302.9,1.6,1.2,2018-09-07,0605,T,50,6.0NRT,289.1,11.4,N
48.265,-116.099,301.5,1.6,1.2,2018-09-07,0605,T,41,6.0NRT,289.4,11,N
47.858,-120.601,317,1.1,1,2018-09-07,0605,T,94,6.0NRT,284.6,18.6,N
47.578,-123.184,304.5,1,1,2018-09-07,0605,T,60,6.0NRT,287.3,7.3,N
47.586,-123.187,302.3,1,1,2018-09-07,0605,T,48,6.0NRT,287.4,5.9,N
48.583,-114.022,305.9,2,1.4,2018-09-07,0605,T,66,6.0NRT,284.8,26,N
48.297,-117.479,300.5,1.4,1.2,2018-09-07,0605,T,29,6.0NRT,289.8,8.2,N
48.584,-114.028,301.7,2,1.4,2018-09-07,0605,T,33,6.0NRT,284.3,17.1,N
48.56,-115.554,302.6,1.7,1.3,2018-09-07,0605,T,50,6.0NRT,288.2,12.8,N
48.594,-115.526,309,1.7,1.3,2018-09-07,0605,T,42,6.0NRT,289,20.3,N
48.606,-115.529,321.3,1.7,1.3,2018-09-07,0605,T,100,6.0NRT,289.8,42.5,N
48.617,-115.531,306.7,1.7,1.3,2018-09-07,0605,T,22,6.0NRT,288.3,17.2,N
48.288,-120.296,306.8,1.1,1,2018-09-07,0605,T,53,6.0NRT,286.6,9.5,N
48.289,-120.446,301.6,1.1,1,2018-09-07,0605,T,17,6.0NRT,279.4,7.4,N
48.288,-120.461,306.3,1.1,1,2018-09-07,0605,T,45,6.0NRT,282,10.7,N
48.313,-120.482,315.8,1.1,1,2018-09-07,0605,T,92,6.0NRT,284,18.5,N
48.429,-120.594,313.2,1.1,1,2018-09-07,0605,T,87,6.0NRT,286.7,15.2,N
48.428,-120.608,310.1,1.1,1,2018-09-07,0605,T,79,6.0NRT,284.9,12.8,N
48.435,-120.603,312.4,1.1,1,2018-09-07,0605,T,85,6.0NRT,283.6,15.6,N
48.713,-120.454,307.9,1.1,1,2018-09-07,0605,T,73,6.0NRT,284.4,10.9,N
48.711,-120.467,306.1,1.1,1,2018-09-07,0605,T,67,6.0NRT,287.2,9.3,N
48.721,-120.469,307,1.1,1,2018-09-07,0605,T,40,6.0NRT,288,9.5,N
49.149,-116.892,301.3,1.5,1.2,2018-09-07,0605,T,39,6.0NRT,284.4,11.6,N
49.002,-119.845,319.6,1.1,1.1,2018-09-07,0605,T,99,6.0NRT,287.3,23.6,N
49.012,-119.845,314.7,1.1,1.1,2018-09-07,0605,T,69,6.0NRT,284.4,17.3,N
49.479,-114.866,307.9,1.9,1.3,2018-09-07,0605,T,73,6.0NRT,283.9,26,N
49.491,-114.868,307.5,1.9,1.3,2018-09-07,0605,T,59,6.0NRT,283,24,N
49.033,-119.836,304.5,1.1,1.1,2018-09-07,0605,T,29,6.0NRT,284.7,9.4,N
49.042,-119.839,313.6,1.1,1.1,2018-09-07,0605,T,83,6.0NRT,282.9,17.2,N
49.04,-119.856,302.7,1.1,1.1,2018-09-07,0605,T,19,6.0NRT,280.8,8.6,N
49.518,-114.841,304.9,1.9,1.3,2018-09-07,0605,T,62,6.0NRT,283.8,21.7,N
49.355,-117.843,325.1,1.4,1.2,2018-09-07,0605,T,100,6.0NRT,291.1,36.9,N
49.354,-117.86,307.8,1.4,1.2,2018-09-07,0605,T,54,6.0NRT,289.3,13,N
49.379,-117.817,319,1.4,1.2,2018-09-07,0605,T,90,6.0NRT,286.3,27.6,N
49.377,-117.834,324.8,1.4,1.2,2018-09-07,0605,T,94,6.0NRT,288.2,35.6,N
49.374,-117.82,315.7,1.4,1.2,2018-09-07,0605,T,84,6.0NRT,288.1,24.1,N
49.373,-117.838,304.7,1.4,1.2,2018-09-07,0605,T,20,6.0NRT,287.7,11,N
49.385,-117.824,320.5,1.4,1.2,2018-09-07,0605,T,100,6.0NRT,285.2,31.5,N
49.383,-117.84,313.8,1.4,1.2,2018-09-07,0605,T,84,6.0NRT,287.6,21.5,N
49.381,-117.858,314,1.4,1.2,2018-09-07,0605,T,88,6.0NRT,288.9,20.9,N
49.392,-117.861,315.5,1.4,1.2,2018-09-07,0605,T,91,6.0NRT,287.7,24,N
49.402,-117.865,312.4,1.4,1.2,2018-09-07,0605,T,85,6.0NRT,284.2,21.3,N
49.191,-119.885,325.6,1.1,1.1,2018-09-07,0605,T,100,6.0NRT,290.5,29.8,N
49.189,-119.903,345.8,1.1,1.1,2018-09-07,0605,T,100,6.0NRT,290.6,66.6,N
49.15,-120.237,304.3,1.1,1,2018-09-07,0605,T,44,6.0NRT,284.1,8.6,N
49.169,-120.244,307.8,1.1,1,2018-09-07,0605,T,57,6.0NRT,284.1,11.3,N
49.171,-120.384,314.4,1.1,1,2018-09-07,0605,T,89,6.0NRT,284.5,17.9,N
49.083,-121.107,308.6,1.1,1,2018-09-07,0605,T,57,6.0NRT,289,9.7,N
49.234,-119.93,316.4,1.1,1.1,2018-09-07,0605,T,93,6.0NRT,289.8,18.1,N
49.205,-120.178,314.2,1.1,1.1,2018-09-07,0605,T,89,6.0NRT,281.6,18.3,N
49.244,-119.934,306.2,1.1,1.1,2018-09-07,0605,T,51,6.0NRT,287.3,9.9,N
49.207,-120.294,318.9,1.1,1,2018-09-07,0605,T,98,6.0NRT,281.9,22.4,N
49.189,-120.442,310.8,1.1,1,2018-09-07,0605,T,62,6.0NRT,282.4,14,N
49.187,-120.457,306.5,1.1,1,2018-09-07,0605,T,63,6.0NRT,281.4,10.9,N
49.216,-120.296,305.3,1.1,1,2018-09-07,0605,T,64,6.0NRT,278,10.9,N
49.482,-117.984,309.9,1.3,1.2,2018-09-07,0605,T,79,6.0NRT,288.9,17,N
49.221,-120.421,309.4,1.1,1,2018-09-07,0605,T,70,6.0NRT,282.8,13.4,N
49.492,-117.985,316,1.3,1.2,2018-09-07,0605,T,89,6.0NRT,289.5,23.1,N
49.502,-117.988,320.6,1.3,1.2,2018-09-07,0605,T,80,6.0NRT,290.8,28.7,N
49.501,-118.004,330.8,1.3,1.1,2018-09-07,0605,T,100,6.0NRT,292.3,45.8,N
49.259,-120.261,301.4,1.1,1.1,2018-09-07,0605,T,41,6.0NRT,281.8,8.6,N
49.163,-121.123,301.7,1.1,1,2018-09-07,0605,T,43,6.0NRT,287.7,6.1,N
49.519,-118.031,300.5,1.3,1.1,2018-09-07,0605,T,6,6.0NRT,287,7,N
49.279,-120.25,315.4,1.1,1.1,2018-09-07,0605,T,86,6.0NRT,286,18.7,N
49.277,-120.266,324.3,1.1,1.1,2018-09-07,0605,T,100,6.0NRT,285.7,28.9,N
49.276,-120.28,303.5,1.1,1,2018-09-07,0605,T,49,6.0NRT,282.2,9.5,N
49.172,-121.127,333.2,1.1,1,2018-09-07,0605,T,100,6.0NRT,288.7,37.5,N
49.529,-118.032,303.4,1.3,1.1,2018-09-07,0605,T,37,6.0NRT,287.6,9.7,N
49.288,-120.253,325.4,1.1,1.1,2018-09-07,0605,T,100,6.0NRT,283.1,31,N
49.686,-118.189,305.1,1.3,1.1,2018-09-07,0605,T,63,6.0NRT,288.4,12,N
49.637,-122.578,303.6,1,1,2018-09-07,0605,T,56,6.0NRT,285.5,8.2,N
34.091,-117.534,304.8,1,1,2018-09-07,0600,T,62,6.0NRT,293,5.6,N
38.366,-119.374,328.8,1,1,2018-09-07,0600,T,100,6.0NRT,284.5,30.5,N
38.365,-119.386,316.9,1,1,2018-09-07,0600,T,94,6.0NRT,284.5,18.1,N
39.413,-122.72,334.2,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,293,42,N
39.422,-122.722,316.7,1.1,1.1,2018-09-07,0600,T,79,6.0NRT,291.4,17,N
39.424,-122.742,310.3,1.1,1.1,2018-09-07,0600,T,78,6.0NRT,291.1,12.1,N
39.421,-122.755,322.3,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,291.1,24.3,N
39.433,-122.744,311.2,1.1,1.1,2018-09-07,0600,T,82,6.0NRT,289.1,13.7,N
39.431,-122.757,308.4,1.1,1.1,2018-09-07,0600,T,75,6.0NRT,288.5,11.3,N
40.635,-123.508,309.9,1.2,1.1,2018-09-07,0600,T,60,6.0NRT,290.6,11.9,N
40.632,-123.521,309.1,1.2,1.1,2018-09-07,0600,T,29,6.0NRT,290.1,11,N
40.941,-122.409,327,1.1,1,2018-09-07,0600,T,100,6.0NRT,294.3,26.6,N
40.939,-122.422,319.6,1.1,1,2018-09-07,0600,T,99,6.0NRT,293.2,18.1,N
40.95,-122.411,318.4,1.1,1,2018-09-07,0600,T,97,6.0NRT,295,16.5,N
40.961,-122.401,304.1,1.1,1,2018-09-07,0600,T,8,6.0NRT,294,4.5,N
40.959,-122.414,316.6,1.1,1,2018-09-07,0600,T,93,6.0NRT,293.7,14.3,N
40.949,-122.476,307.5,1.1,1,2018-09-07,0600,T,46,6.0NRT,293.8,6.8,N
40.947,-122.488,398.3,1.1,1,2018-09-07,0600,T,100,6.0NRT,302.4,268.8,N
40.945,-122.5,335.8,1.1,1,2018-09-07,0600,T,100,6.0NRT,293.1,39.1,N
40.955,-122.484,379.5,1.1,1,2018-09-07,0600,T,100,6.0NRT,300.8,166.1,N
40.953,-122.495,407.1,1.1,1,2018-09-07,0600,T,100,6.0NRT,304.2,330.5,N
40.951,-122.508,303.3,1.1,1,2018-09-07,0600,T,9,6.0NRT,291.8,4.7,N
40.976,-122.412,310.6,1.1,1,2018-09-07,0600,T,38,6.0NRT,294.4,8.8,N
40.964,-122.486,313.1,1.1,1,2018-09-07,0600,T,83,6.0NRT,294.8,11,N
40.962,-122.498,338.6,1.1,1,2018-09-07,0600,T,100,6.0NRT,297,44.2,N
40.993,-122.365,331.1,1.1,1,2018-09-07,0600,T,100,6.0NRT,295.9,31.9,N
40.991,-122.377,336.2,1.1,1,2018-09-07,0600,T,100,6.0NRT,296.2,38.9,N
40.989,-122.389,318.3,1.1,1,2018-09-07,0600,T,67,6.0NRT,294.9,14.5,N
40.987,-122.402,314.8,1.1,1,2018-09-07,0600,T,71,6.0NRT,294.8,11.8,N
40.973,-122.488,311.1,1.1,1,2018-09-07,0600,T,75,6.0NRT,294,8.7,N
40.971,-122.5,344.4,1.1,1,2018-09-07,0600,T,100,6.0NRT,297.3,54.7,N
40.969,-122.512,341.2,1.1,1,2018-09-07,0600,T,100,6.0NRT,293.1,49.1,N
41.004,-122.355,302.5,1.1,1,2018-09-07,0600,T,7,6.0NRT,292.4,3.5,N
41.002,-122.368,372.9,1.1,1,2018-09-07,0600,T,100,6.0NRT,299.4,137.2,N
41,-122.38,323.4,1.1,1,2018-09-07,0600,T,87,6.0NRT,295.7,20,N
40.998,-122.392,320.1,1.1,1,2018-09-07,0600,T,97,6.0NRT,296.1,15.9,N
40.982,-122.492,323.1,1.1,1,2018-09-07,0600,T,100,6.0NRT,295,20.7,N
40.98,-122.504,344.6,1.1,1,2018-09-07,0600,T,100,6.0NRT,297.2,55.2,N
40.978,-122.516,320.6,1.1,1,2018-09-07,0600,T,100,6.0NRT,293.1,19.2,N
41.011,-122.37,318.6,1.1,1,2018-09-07,0600,T,97,6.0NRT,293.7,16.4,N
41.009,-122.383,319.3,1.1,1,2018-09-07,0600,T,70,6.0NRT,294.9,16.1,N
41.007,-122.395,350.5,1.1,1,2018-09-07,0600,T,100,6.0NRT,299.2,66,N
41.005,-122.408,349.7,1.1,1,2018-09-07,0600,T,100,6.0NRT,297.4,64,N
41.003,-122.42,335.3,1.1,1,2018-09-07,0600,T,100,6.0NRT,295.8,36.2,N
40.989,-122.506,317.9,1.1,1,2018-09-07,0600,T,84,6.0NRT,295.8,14.6,N
40.987,-122.518,341.2,1.1,1,2018-09-07,0600,T,100,6.0NRT,298.7,48.4,N
41.016,-122.398,345,1.1,1,2018-09-07,0600,T,100,6.0NRT,295.6,55.2,N
41.014,-122.41,328.7,1.1,1,2018-09-07,0600,T,91,6.0NRT,293.6,26.4,N
41.012,-122.422,334.4,1.1,1,2018-09-07,0600,T,100,6.0NRT,294.4,35.3,N
40.996,-122.52,324.8,1.1,1,2018-09-07,0600,T,100,6.0NRT,295.5,22.5,N
40.995,-122.532,328.2,1.1,1,2018-09-07,0600,T,100,6.0NRT,294.2,27.7,N
41.02,-122.436,342.3,1.1,1,2018-09-07,0600,T,100,6.0NRT,296.9,50.3,N
41.004,-122.535,309.9,1.1,1,2018-09-07,0600,T,23,6.0NRT,291,8.3,N
41.002,-122.547,321.4,1.1,1,2018-09-07,0600,T,100,6.0NRT,291.6,20.4,N
41.033,-122.415,327.3,1.1,1,2018-09-07,0600,T,100,6.0NRT,293.3,26.5,N
41.031,-122.427,339.4,1.1,1,2018-09-07,0600,T,100,6.0NRT,296.1,45.3,N
41.029,-122.439,344.1,1.1,1,2018-09-07,0600,T,100,6.0NRT,296.8,54.2,N
41.027,-122.451,333,1.1,1,2018-09-07,0600,T,100,6.0NRT,295.1,34.3,N
41.025,-122.463,323.1,1.1,1,2018-09-07,0600,T,96,6.0NRT,292.6,20.7,N
41.023,-122.475,336.2,1.1,1,2018-09-07,0600,T,100,6.0NRT,293.1,39.3,N
41.011,-122.551,327.4,1.1,1,2018-09-07,0600,T,95,6.0NRT,295.4,25.6,N
41.009,-122.563,318.2,1.1,1,2018-09-07,0600,T,71,6.0NRT,292.7,16.4,N
41.036,-122.453,322.3,1.1,1,2018-09-07,0600,T,94,6.0NRT,292.1,21.5,N
41.034,-122.465,318.2,1.1,1,2018-09-07,0600,T,56,6.0NRT,290.2,16.5,N
41.032,-122.477,321.7,1.1,1,2018-09-07,0600,T,87,6.0NRT,290.2,19.5,N
41.02,-122.554,326.3,1.1,1,2018-09-07,0600,T,85,6.0NRT,297.7,23.6,N
41.018,-122.567,339.5,1.1,1,2018-09-07,0600,T,100,6.0NRT,296.8,45.9,N
41.041,-122.479,332.8,1.1,1,2018-09-07,0600,T,98,6.0NRT,288.8,35,N
41.039,-122.492,328.8,1.1,1,2018-09-07,0600,T,96,6.0NRT,291.4,27.9,N
41.037,-122.506,325.8,1.1,1,2018-09-07,0600,T,100,6.0NRT,293.9,22,N
41.035,-122.518,313.1,1.1,1,2018-09-07,0600,T,67,6.0NRT,291.6,9.5,N
41.031,-122.543,334.5,1.1,1,2018-09-07,0600,T,100,6.0NRT,296,37.4,N
41.029,-122.556,347,1.1,1,2018-09-07,0600,T,100,6.0NRT,299.4,60.7,N
41.027,-122.569,345,1.1,1,2018-09-07,0600,T,100,6.0NRT,299,58.4,N
41.025,-122.582,305.3,1.1,1,2018-09-07,0600,T,64,6.0NRT,292.2,7,N
41.047,-122.487,350.2,1.1,1,2018-09-07,0600,T,100,6.0NRT,292.8,70.1,N
41.045,-122.5,337.8,1.1,1,2018-09-07,0600,T,100,6.0NRT,295.4,44.7,N
41.043,-122.513,333.9,1.1,1,2018-09-07,0600,T,100,6.0NRT,293.4,37.4,N
41.041,-122.525,319,1.1,1,2018-09-07,0600,T,88,6.0NRT,291.9,18.8,N
41.039,-122.538,331.1,1.1,1,2018-09-07,0600,T,100,6.0NRT,292.5,33.8,N
41.037,-122.55,331.1,1.1,1,2018-09-07,0600,T,100,6.0NRT,291.8,33.8,N
41.035,-122.563,342.8,1.1,1,2018-09-07,0600,T,100,6.0NRT,295.1,54,N
41.032,-122.576,328.7,1.1,1,2018-09-07,0600,T,100,6.0NRT,293,30.8,N
41.056,-122.49,301,1.1,1,2018-09-07,0600,T,22,6.0NRT,287.8,5.7,N
41.054,-122.503,319.5,1.1,1,2018-09-07,0600,T,99,6.0NRT,289.4,20.5,N
41.052,-122.515,313.2,1.1,1,2018-09-07,0600,T,66,6.0NRT,289.5,13.7,N
41.05,-122.528,338.7,1.1,1,2018-09-07,0600,T,100,6.0NRT,292.3,47,N
41.048,-122.54,311.1,1.1,1,2018-09-07,0600,T,68,6.0NRT,288.9,12.2,N
41.809,-123.549,325.6,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,291.9,27.7,N
41.814,-123.576,307.2,1.1,1.1,2018-09-07,0600,T,45,6.0NRT,287.9,9.5,N
41.897,-123.581,302.2,1.1,1.1,2018-09-07,0600,T,47,6.0NRT,288,7.2,N
42.603,-120.671,302.2,1,1,2018-09-07,0600,T,47,6.0NRT,285.3,7.6,N
42.601,-120.683,311.8,1,1,2018-09-07,0600,T,83,6.0NRT,284.7,14,N
42.655,-120.69,309.1,1,1,2018-09-07,0600,T,77,6.0NRT,281.4,12.4,N
43.46,-115.008,332.8,1.6,1.2,2018-09-07,0600,T,100,6.0NRT,288.8,65.5,N
43.459,-115.026,305.4,1.6,1.2,2018-09-07,0600,T,26,6.0NRT,285.3,15,N
43.462,-114.995,305.3,1.6,1.2,2018-09-07,0600,T,45,6.0NRT,284.3,15.4,N
43.461,-115.013,331.8,1.6,1.2,2018-09-07,0600,T,100,6.0NRT,288.8,63.5,N
42.326,-123.792,311.4,1.1,1.1,2018-09-07,0600,T,82,6.0NRT,289,13.9,N
43.473,-114.997,305.8,1.6,1.2,2018-09-07,0600,T,61,6.0NRT,285.3,16.2,N
43.472,-115.016,312.3,1.6,1.2,2018-09-07,0600,T,85,6.0NRT,286.1,24.5,N
43.505,-115.024,310.2,1.6,1.2,2018-09-07,0600,T,79,6.0NRT,283.9,23.3,N
42.397,-124.093,317.3,1.2,1.1,2018-09-07,0600,T,35,6.0NRT,289.1,17.6,N
42.456,-123.81,373.4,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,298.9,155.5,N
42.453,-123.824,373.3,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,297.8,155,N
42.409,-124.083,321.5,1.2,1.1,2018-09-07,0600,T,63,6.0NRT,287.9,22.4,N
42.402,-124.122,335.6,1.2,1.1,2018-09-07,0600,T,100,6.0NRT,288.4,46.5,N
42.465,-123.814,306,1.1,1.1,2018-09-07,0600,T,66,6.0NRT,289.1,9.2,N
42.463,-123.828,315.2,1.1,1.1,2018-09-07,0600,T,91,6.0NRT,289.4,17.2,N
42.414,-124.112,321.6,1.2,1.1,2018-09-07,0600,T,85,6.0NRT,287.9,23.4,N
42.428,-124.087,343.6,1.2,1.1,2018-09-07,0600,T,100,6.0NRT,290.5,61.5,N
42.426,-124.101,351.2,1.2,1.1,2018-09-07,0600,T,100,6.0NRT,291.9,80.9,N
42.489,-123.928,310.1,1.1,1.1,2018-09-07,0600,T,79,6.0NRT,289.3,12.4,N
42.475,-124.011,301.3,1.2,1.1,2018-09-07,0600,T,39,6.0NRT,287.5,6.5,N
42.473,-124.023,301,1.2,1.1,2018-09-07,0600,T,36,6.0NRT,287.7,6.7,N
42.501,-123.917,320.9,1.1,1.1,2018-09-07,0600,T,90,6.0NRT,290,22.2,N
42.498,-123.931,318.8,1.1,1.1,2018-09-07,0600,T,98,6.0NRT,289.1,20.4,N
42.517,-123.879,314.6,1.1,1.1,2018-09-07,0600,T,45,6.0NRT,290.5,14.9,N
42.529,-123.868,324.6,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,290,26.8,N
42.527,-123.882,319,1.1,1.1,2018-09-07,0600,T,89,6.0NRT,290.4,19.7,N
42.536,-123.884,314.3,1.1,1.1,2018-09-07,0600,T,43,6.0NRT,289.3,15.1,N
42.541,-123.912,338.4,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,289.8,49.1,N
42.539,-123.926,381.5,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,296.4,194,N
42.536,-123.94,331.1,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,288.2,37.3,N
42.548,-123.929,325.7,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,287.7,29.6,N
42.546,-123.944,325.8,1.1,1.1,2018-09-07,0600,T,100,6.0NRT,286.8,30.3,N
42.868,-122.714,321,1,1,2018-09-07,0600,T,100,6.0NRT,289.1,21.3,N
42.866,-122.727,305.5,1,1,2018-09-07,0600,T,65,6.0NRT,287.4,8.2,N
42.909,-122.634,307.2,1,1,2018-09-07,0600,T,71,6.0NRT,287.4,9.6,N
44.109,-122.195,304.4,1,1,2018-09-07,0600,T,60,6.0NRT,289.3,7.1,N
45.034,-123.006,331.1,1,1,2018-09-07,0600,T,100,6.0NRT,287,33.6,N
45.231,-123.167,301.2,1,1,2018-09-07,0600,T,39,6.0NRT,286.8,6.7,N
46.572,-121.406,306,1,1,2018-09-07,0600,T,66,6.0NRT,285.7,9,N
47.493,-113.193,303.8,2.2,1.4,2018-09-07,0600,T,35,6.0NRT,286.6,22.9,N
47.504,-113.201,313.9,2.2,1.4,2018-09-07,0600,T,88,6.0NRT,286.3,47.1,N
47.502,-113.225,309.8,2.2,1.4,2018-09-07,0600,T,78,6.0NRT,283.8,36.9,N
47.763,-113.194,302,2.2,1.4,2018-09-07,0600,T,34,6.0NRT,282.9,21.3,N
47.761,-113.198,302.8,2.2,1.4,2018-09-07,0600,T,51,6.0NRT,283.1,25,N
47.775,-113.171,310.7,2.2,1.4,2018-09-07,0600,T,81,6.0NRT,284.1,39.9,N
47.667,-114.794,302.4,1.8,1.3,2018-09-07,0600,T,49,6.0NRT,286.5,16.4,N
36.356,-76.809,303.9,1.1,1,2018-09-07,0655,A,58,6.0NRT,293.3,5.6,N
33.428,-85.498,306.1,3.2,1.7,2018-09-07,0655,A,67,6.0NRT,289.8,40.1,N
33.429,-85.503,306.9,3.2,1.7,2018-09-07,0655,A,70,6.0NRT,289.7,42.9,N
24.129,-99.197,304.7,1.3,1.1,2018-09-07,0840,A,61,6.0NRT,290.2,7.3,N
24.129,-99.203,302.5,1.3,1.1,2018-09-07,0840,A,49,6.0NRT,290.2,5.4,N
24.041,-99.106,300.2,1.3,1.1,2018-09-07,0840,A,22,6.0NRT,289,4.1,N
33.668,-96.025,308.2,1.3,1.1,2018-09-07,0835,A,74,6.0NRT,290.4,11,N
49.513,-114.833,323.1,1.3,1.1,2018-09-07,1010,A,100,6.0NRT,285.4,33.7,N
49.486,-114.855,323.4,1.3,1.1,2018-09-07,1010,A,100,6.0NRT,282,34.2,N
49.688,-118.182,304.9,1,1,2018-09-07,1010,A,62,6.0NRT,286.4,8.7,N
49.679,-118.185,301.3,1,1,2018-09-07,1010,A,36,6.0NRT,285,6.4,N
49.518,-118.004,314.8,1,1,2018-09-07,1010,A,78,6.0NRT,286.6,14.8,N
49.507,-117.993,323.5,1,1,2018-09-07,1010,A,100,6.0NRT,289,23.5,N
49.505,-117.98,306.7,1,1,2018-09-07,1010,A,59,6.0NRT,287.2,9.4,N
49.498,-117.996,322.6,1,1,2018-09-07,1010,A,98,6.0NRT,288.3,21.1,N
